Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Comment
109768830,"As a user, when I visit the splash page, I should see a page whose general layout matches the design mockup [excluding dynamic content]",module 1,1,"Dec 7, 2015","Dec 13, 2015",feature,2,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768830,Christopher Brown
109768846,"As a user, when I visit the splash page, I should see a railroad track with 19% opacity on the right hand side.",module 1,1,"Dec 7, 2015","Dec 13, 2015",feature,1,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768846,Christopher Brown
109768906,"As a user, when I click ""choose tracks"" on the splash page, it takes me to the playlist page.",module 1,1,"Dec 7, 2015","Dec 13, 2015",feature,1,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768906,Christopher Brown,"https://g18playlist.firebaseapp.com/ (Christopher Brown - Dec 9, 2015)"
109768862,"As a user, when I visit the playlist page, I should see a page whose general layout matches the design mockup [excluding dynamic content]",module 1,1,"Dec 7, 2015","Dec 13, 2015",feature,2,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768862,Christopher Brown,"https://g18playlist.firebaseapp.com/ (Christopher Brown - Dec 9, 2015)"
109768930,"As a developer, when I submit a get request on the home page [https://lit-fortress-6467.herokuapp.com/object ] , I receive data and I am able to choose 3 random album image URLs from the data received.",module 2,1,"Dec 7, 2015","Dec 13, 2015",feature,1,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768930,Christopher Brown,"https://g18playlist.firebaseapp.com/ (Christopher Brown - Dec 9, 2015)"
109768942,"As a developer, when I submit a get request on the playlist page [ https://lit-fortress-6467.herokuapp.com/object ] , I receive data and I am able to get all of the data .",module 2,1,"Dec 7, 2015","Dec 13, 2015",feature,1,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768942,Christopher Brown
109768948,"As a developer, in a sandbox environment, I am able to make a POST request to the [ https://lit-fortress-6467.herokuapp.com/post ] receive a response, and log data from the response.",module 2,1,"Dec 7, 2015","Dec 13, 2015",feature,1,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768948,Christopher Brown,"https://g18playlist.firebaseapp.com/playlist.html (Christopher Brown - Dec 9, 2015)"
109768960,"As a user, when I visit the home page, I see 3 random album covers vertically stacked according to the specs shown in the mockup.",module 3,1,"Dec 7, 2015","Dec 13, 2015",feature,0,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768960,Christopher Brown
109768970,"As a user, when I visit the playlist page, I see a div populated with all of the albums in the album list retrieved from the API.",module 3,1,"Dec 7, 2015","Dec 13, 2015",feature,0,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768970,Christopher Brown
109768980,"As a developer, when I iterate through the album results, I wrap each image in a div with a unique id that matches the id of each image object, and I append that div to the playlist div, OR I do something else that achieves the same result.",module 4,1,"Dec 7, 2015","Dec 13, 2015",feature,0,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768980,Christopher Brown
109768990,"As a developer, when my playlist is completed, I have accumulated all of the album (or track ) names in a collection",module 5,1,"Dec 7, 2015","Dec 13, 2015",feature,1,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109768990,Christopher Brown
109769038,"As a developer, when I send my collection via POST request to the POST API: https://lit-fortress-6467.herokuapp.com/post , I receive and log a response to the console.
New ZPD Response",module 5,1,"Dec 7, 2015","Dec 13, 2015",feature,1,accepted,"Dec 8, 2015","Dec 9, 2015",,Christopher Brown,,https://www.pivotaltracker.com/story/show/109769038,Christopher Brown
